timestamp,position_x,position_y,position_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1745691297209,0.0,0.0,0.0,-0.29448682,0.90740246,10.500969,0.0,0.0,0.0,0.0,0.0,0.0
1745691297219,0.0,0.0,0.0,-0.34476504,0.90021986,10.314221,-0.11728613,0.0580322,0.076358154,-47.369003,-28.77,-45.397003
1745691297231,0.0,0.0,0.0,-0.2657564,0.89303726,10.146626,-0.11728613,0.0580322,0.076358154,-46.967003,-29.187002,-45.382004
1745691297241,0.0,0.0,0.0,-0.30645782,0.93134445,9.909601,-0.11728613,0.0580322,0.076358154,-46.274002,-30.866001,-44.600002
1745691297251,0.0,0.0,0.0,-0.37588966,0.93852705,9.737218,-0.11728613,0.0580322,0.076358154,-46.274002,-30.865002,-44.812
1745691297263,0.0,0.0,0.0,-0.45010993,0.92176765,9.696517,0.040317107,0.02321288,0.0030543262,-46.480003,-31.29,-44.386
1745691297274,0.0,0.0,0.0,-0.45010993,0.94331545,9.619903,-6.1086525E-4,0.01038471,0.002443461,-47.993004,-30.468002,-44.113003
1745691297284,0.0,0.0,0.0,-0.37349546,0.9624691,9.636662,-0.04337143,0.015882496,0.002443461,-47.077003,-29.929,-43.675003
1745691297295,0.0,0.0,0.0,-0.4237737,0.94092125,9.742006,-0.06291912,0.018936822,0.0018325958,-46.571003,-29.922,-43.664
1745691297306,0.0,0.0,0.0,-0.46926352,0.93134445,9.792285,-0.07880162,0.015271631,0.0067195175,-46.670002,-30.025002,-46.001003
1745691297316,0.0,0.0,0.0,-0.44532153,0.90021986,10.048465,-0.100792766,-0.004276057,0.015271631,-46.563004,-29.391,-46.007004
1745691297327,0.0,0.0,0.0,-0.35434186,0.8714894,10.113108,-0.08002335,-0.009773844,0.017715093,-46.569004,-30.025002,-45.362003
1745691297339,0.0,0.0,0.0,-0.34955344,0.8882488,10.16578,-0.039095376,0.015271631,0.007941248,-46.279003,-31.498001,-44.697002
1745691297349,0.0,0.0,0.0,-0.35194764,0.89782566,10.15381,-0.009162978,0.014049901,0.007330383,-46.578003,-30.975002,-44.924004
1745691297359,0.0,0.0,0.0,-0.30406362,0.89782566,10.072407,0.009773844,-0.0067195175,-0.0018325958,-47.078003,-30.138,-44.734
1745691297370,0.0,0.0,0.0,-0.4189853,0.8834604,9.947908,0.02076942,-0.015271631,-0.02443461,-46.780003,-31.081001,-46.201004
1745691297380,0.0,0.0,0.0,-0.4141969,0.90979666,9.849746,0.017715093,-0.019547688,-0.015882496,-47.391003,-31.196001,-44.939003
1745691297391,0.0,0.0,0.0,-0.35434186,0.91697925,9.734824,0.004886922,-0.017715093,-0.020158553,-46.976,-30.032001,-44.521004
1745691297401,0.0,0.0,0.0,-0.38067806,0.91219085,9.768343,-0.02076942,-0.01038471,-0.028710667,-46.066,-30.335001,-44.815002
1745691297412,0.0,0.0,0.0,-0.4429273,0.89064306,9.933543,-0.04153884,-0.01038471,-0.028710667,-46.072002,-30.968002,-44.594
1745691297424,0.0,0.0,0.0,-0.41180268,0.866701,10.084377,-0.04153884,-0.010995574,-0.021380283,-47.180004,-30.350002,-45.158
1745691297435,0.0,0.0,0.0,-0.36631286,0.89782566,10.158598,-0.021991149,-0.0012217305,-0.012217305,-46.783,-31.085001,-43.653004
1745691297445,0.0,0.0,0.0,-0.30406362,0.92895025,10.199299,0.002443461,0.01038471,-0.008552114,-47.586002,-30.565,-46.014004
