timestamp,latitude,longitude,altitude,speed,bearing,accuracy,local_x,local_y,local_z
1745691301189,12.8967702,77.4679604,715.2000122070312,0.0669822,-1.0,42.958,0.0,0.0,0.0
1745691302081,12.8968077,77.4679032,715.2000122070312,0.5551631,356.35117,34.479,-6.199902203209407,4.169809749036302,0.0
1745691303099,12.896805,77.4678314,715.2000122070312,0.36057034,359.44553,29.319,-13.982296928882038,3.869583447182079,0.0
1745691304097,12.8968077,77.4677689,715.2000122070312,0.4796382,359.71353,26.614,-20.75666559512088,4.169809749036302,0.0
1745691305189,12.8968136,77.4677675,715.2000122070312,0.45024014,359.97925,25.291,-20.908411454138196,4.82585981628686,0.0
1745691306185,12.8968139,77.467767,715.2000122070312,0.20491731,359.99835,20.2,-20.96260640368874,4.859218294270661,0.0
1745691307097,12.8968098,77.4677859,715.2000122070312,0.17031966,0.043043297,18.003,-18.91403731867613,4.403319094922919,0.0
1745691308120,12.8968104,77.4677783,715.2000122070312,0.16957572,359.23035,17.086,-19.737800547431732,4.470036050890524,0.0
1745691309126,12.8968103,77.4677741,715.2000122070312,0.2027794,299.9353,16.086,-20.193038121725763,4.458916558288201,0.0
1745691310140,12.89681,77.4677723,715.2000122070312,0.19112037,278.84778,15.502,-20.388139940659304,4.425558080304398,0.0
1745691311134,12.8968128,77.4677713,715.2000122070312,0.54983604,358.70172,14.502,-20.49652983838143,4.736903874937775,0.0
1745691312122,12.8968153,77.4677596,715.2000122070312,0.61372256,354.21008,12.5,-21.764691653175706,5.014891191587351,0.0
1745691313118,12.8968144,77.4677477,715.2000122070312,0.61687464,352.32422,12.0,-23.054531445859656,4.914815757635943,0.0
1745691314115,12.896809,77.4677408,715.2000122070312,0.6443025,352.93518,11.75,-23.80242174717504,4.314363153573836,0.0
1745691315112,12.8968062,77.4677359,715.2000122070312,0.56092227,354.27292,11.1,-24.333532251667204,4.003017359117289,0.0
1745691316129,12.8968061,77.4677372,715.2000122070312,0.37440145,358.58,10.6,-24.192625382284206,3.9918978663381344,0.0
1745691317110,12.8968016,77.4677397,715.0,0.26055562,359.696,10.511,-23.921650637289407,3.4915206965810963,-0.20001220703125
1745691318125,12.8968012,77.4677398,715.0,0.15244088,359.9741,10.295,-23.910811646276127,3.4470427259949696,-0.20001220703125
1745691319116,12.8967994,77.4677362,715.0,0.14631002,359.76505,9.928,-24.301015281385293,3.246891857915324,-0.20001220703125
1745691320125,12.8968009,77.4677314,715.0,0.40418324,359.01416,9.867,-24.821286794864182,3.413684248011167,-0.20001220703125
1745691321111,12.8968035,77.4677292,715.0,0.39607012,359.0406,9.867,-25.059744572334996,3.7027910572630662,-0.20001220703125
1745691322112,12.8968054,77.46773,715.0,0.55294746,359.73242,9.458,-24.97303265250254,3.914061417768205,-0.20001220703125
1745691323124,12.8968069,77.4677353,715.0,0.65899444,1.2671217,9.458,-24.398566190852065,4.080853807687218,-0.20001220703125
1745691324137,12.8968085,77.4677393,715.0,0.71041906,2.0010266,9.375,-23.965006595826672,4.258765690385386,-0.20001220703125
1745691325124,12.8968103,77.4677427,715.0,0.59011304,2.4340038,9.292,-23.596480939986137,4.458916558288201,-0.20001220703125
1745691326127,12.8968105,77.4677441,715.0,0.33113423,0.6702706,9.178,-23.444735080968822,4.481155543669679,-0.20001220703125
1745691326331,12.8968101,77.4677444,715.8999633789062,0.33068928,0.69669163,9.608,-23.412218112065872,4.4366775729067225,0.699951171875
1745691327101,12.8968066,77.4677449,715.8999633789062,0.50460356,0.43845505,9.306,-23.358023162515327,4.047495329703415,0.699951171875
1745691328122,12.8968065,77.467748,715.8999633789062,0.5196722,0.8761196,9.235,-23.022014476956706,4.036375837101092,0.699951171875
1745691329117,12.8968069,77.4677514,715.8999633789062,0.4404979,1.2368743,9.021,-22.65348882249513,4.080853807687218,0.699951171875
1745691330115,12.8968059,77.4677525,715.8999633789062,0.24702491,0.44895792,8.878,-22.534259932380763,3.9696588811334865,0.699951171875
1745691331121,12.896805,77.4677532,715.8999633789062,0.24283159,0.59376615,8.592,-22.45838700356159,3.869583447182079,0.699951171875
1745691332129,12.8968045,77.4677535,715.8999633789062,0.23313484,0.78967494,7.914,-22.425870034658637,3.8139859838167975,0.699951171875
1745691333105,12.8968049,77.4677503,715.8999633789062,0.22277494,356.1157,7.783,-22.772717709851577,3.8584639544029242,0.699951171875
1745691334129,12.8968038,77.4677491,715.8999633789062,0.4681983,358.51236,7.581,-22.9027855882213,3.7361495352468688,0.699951171875
1745691335134,12.8968039,77.4677459,715.8999633789062,0.75960803,358.224,7.497,-23.249633264793196,3.7472690278491925,0.699951171875
