tx, ty, tz 
-0.002287337789312005, 0.001231274800375104, 0.00012687336129602045
-0.0022861603647470474, 0.0012145565124228597, 0.0003155608137603849
-0.0024410884361714125, 0.001273655565455556, -0.0006586653762497008
-0.002476957393810153, 0.0013837490696460009, -0.0005523384897969663
-0.002324833767488599, 0.0011999472044408321, -0.0007082497468218207
-0.002402778947725892, 0.0014600344002246857, -0.00040686377906240523
-0.002432454377412796, 0.0015349825844168663, -0.00032550879404880106
-0.002454375382512808, 0.0015838283579796553, -0.0002743801160249859
-0.00247360672801733, 0.001625698758289218, -0.00023087461886461824
-0.002490938873961568, 0.001663308939896524, -0.00019183786935172975
-0.0025066188536584377, 0.0016973178135231137, -0.00015654433809686452
-0.0025208110455423594, 0.001728098257444799, -0.000124601720017381
-0.002533657941967249, 0.0017559605184942484, -9.568770474288613e-05
-0.0025452871341258287, 0.0017811814323067665, -6.951462273718789e-05
-0.0025558138731867075, 0.0018040116410702467, -4.582257315632887e-05
-0.0025653427001088858, 0.0018246776890009642, -2.4376369765377603e-05
-0.002573968144133687, 0.0018433848163112998, -4.963115770806326e-06
-0.0025817761197686195, 0.0018603185890242457, 1.2609895748028066e-05
-0.0025888439267873764, 0.00187564711086452, 2.8517108148662373e-05
-0.0025952416472136974, 0.0018895226530730724, 4.291642835596576e-05
-0.002601033076643944, 0.0019020828185603023, 5.5950789828784764e-05
-0.0026062754914164543, 0.001913452404551208, 6.77495845593512e-05
-0.002611020812764764, 0.00192374421749264, 7.842994091333821e-05
-0.0026153165381401777, 0.0019330604700371623, 8.809786959318444e-05
-0.0026192048098891973, 0.0019414935959503055, 9.684934775577858e-05
-0.0026227247435599566, 0.001949127297848463, 0.00010477124305907637
-0.002625910798087716, 0.0019560374785214663, 0.00011194220132892951
-0.0026287951041013002, 0.0019622924737632275, 0.00011843340325867757
-0.002631405834108591, 0.001967954682186246, 0.00012430928472895175
-0.002633769065141678, 0.0019730799831449986, 0.00012962816981598735
-0.0026359083130955696, 0.001977719599381089, 0.0001344428601441905
-0.002637844765558839, 0.0019819193985313177, 0.00013880115875508636
-0.002639597514644265, 0.001985721057280898, 0.00014274631394073367
-0.0026411842554807663, 0.0019891622941941023, 0.00014631749945692718
-0.002642620587721467, 0.0019922773353755474, 0.0001495501637691632
-0.0026439207140356302, 0.0019950971473008394, 0.00015247637929860502
-0.0026450976729393005, 0.001997649669647217, 0.00015512522077187896
-0.002646162873134017, 0.001999960048124194, 0.00015752298349980265
-0.002647127490490675, 0.002002051565796137, 0.00015969343075994402
-0.0026480003725737333, 0.00200394494459033, 0.00016165815759450197
-0.0026487905997782946, 0.0020056585781276226, 0.00016343661991413683
-0.0026495058555155993, 0.0020072099287062883, 0.00016504651284776628
-0.0026501533575356007, 0.002008614130318165, 0.00016650378529448062
-0.0026507393922656775, 0.002009885385632515, 0.0001678229309618473
-0.0026512700133025646, 0.0020110360346734524, 0.00016901703202165663
-0.0026517503429204226, 0.00201207771897316, 0.0001700979337329045
-0.0026521850377321243, 0.0020130204502493143, 0.00017107637540902942
-0.0026525785215198994, 0.0020138740073889494, 0.00017196206317748874
-0.00265293475240469, 0.002014646539464593, 0.00017276380094699562
-0.0026532572228461504, 0.002015345962718129, 0.00017348953406326473
-0.0026535491924732924, 0.0020159787964075804, 0.00017414648027624935
-0.002653813222423196, 0.002016552025452256, 0.00017474114429205656
-0.002654052572324872, 0.0020170705392956734, 0.00017527943418826908
